p,n_labeled,k,degree,setting,method,fdr_mean,fdr_std,tpr_mean,tpr_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_selected_mean,n_true_positives_mean,n_false_positives_mean,n_false_negatives_mean,r_squared_mean,elapsed_mean,peak_memory_mean,n_completed
5,100,3,3,supervised,sparse_poly_stlsq,0.19444444444444442,0.1416394309331329,0.7777777777777777,0.15713484026367724,0.8055555555555555,0.14163943093313291,0.7777777777777777,0.15713484026367724,0.7746031746031745,0.0798082862855653,0.7222222222222222,0.10393492741038726,11.666666666666666,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.8016529116956025,0.0070486849999724654,0.1532293955485026,3
5,300,3,3,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,6.745572014999955,0.8433755238850912,3
5,300,3,3,supervised,poly_lasso,0.21666666666666667,0.16499158227686112,1.0,0.0,0.7833333333333333,0.16499158227686112,1.0,0.0,0.869047619047619,0.10240863413145988,0.75,0.2041241452319315,9.333333333333334,3.0,1.0,0.0,0.9719928883126654,0.22582477233330187,0.4033648173014323,3
5,300,3,3,supervised,poly_omp,0.26666666666666666,0.1885618083164127,1.0,0.0,0.7333333333333334,0.1885618083164127,1.0,0.0,0.8333333333333334,0.11785113019775798,0.6666666666666666,0.23570226039551584,8.333333333333334,3.0,1.3333333333333333,0.0,0.9725543146723344,0.035201526666545156,0.4640827178955078,3
5,300,3,3,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.9705779958560043,1.0883678096667306,0.8247114817301432,3
5,300,3,3,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.9698121782141401,0.3242598239999097,0.821260134379069,3
5,300,3,3,supervised,sparse_poly_stlsq,0.4666666666666666,0.1440164599646191,0.6666666666666666,0.2721655269759087,0.5333333333333333,0.14401645996461912,0.6666666666666666,0.2721655269759087,0.5833333333333334,0.18002057495577387,0.4166666666666667,0.18002057495577387,16.666666666666668,2.0,1.6666666666666667,1.0,0.9029515867413899,0.009535422666582841,0.3928337097167969,3
5,100,4,3,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.0,11.6904007186666,0.436672846476237,3
5,100,4,3,supervised,poly_lasso,0.20000000000000004,2.7755575615628914e-17,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,1.0,0.0,0.888888888888889,0.0,0.5,0.0,11.333333333333334,4.0,1.0,0.0,0.9904032833869495,0.21517852600027254,0.2507311503092448,3
5,100,4,3,supervised,poly_omp,0.13333333333333333,0.09428090415820635,1.0,0.0,0.8666666666666667,0.09428090415820632,1.0,0.0,0.9259259259259259,0.05237828008789238,0.6666666666666666,0.23570226039551584,13.333333333333334,4.0,0.6666666666666666,0.0,0.9904240904478172,0.034500664999995934,0.19135602315266928,3
5,100,4,3,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.9525738963841697,0.3946400063332476,0.42810948689778644,3
5,100,4,3,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.9744311060825339,0.2315112296666181,0.42498238881429035,3
